,conc,lat,lon
0,17179,53.807032,-1.554093
1,17059,53.807082,-1.554218
2,17410,53.80715,-1.554293
3,17146,53.80718,-1.554358
4,16824,53.807223,-1.5544
5,16896,53.80726,-1.554383
6,17149,53.807257,-1.55416
7,17202,53.807297,-1.554177
8,17630,53.807253,-1.554177
9,17074,53.807275,-1.554145
10,17302,53.80727,-1.55406
11,17424,53.807277,-1.554005
12,17280,53.80728,-1.553955
13,18041,53.807285,-1.553893
14,17041,53.807288,-1.553842
15,17875,53.807338,-1.553775
16,17710,53.807348,-1.553723
17,17716,53.80735,-1.553668
18,17749,53.807362,-1.553608
19,17194,53.807352,-1.55352
20,17680,53.80735,-1.553463
21,17720,53.807328,-1.553432
22,17534,53.807327,-1.553378
23,17766,53.807322,-1.553328
24,17547,53.807322,-1.553275
25,17549,53.80733,-1.553227
26,17147,53.807323,-1.553157
27,17619,53.807345,-1.553095
28,17353,53.807382,-1.553068
29,17920,53.807407,-1.553043
30,17576,53.807433,-1.553013
31,17266,53.807455,-1.552947
32,17272,53.80748,-1.552905
33,17324,53.807502,-1.552873
34,17849,53.807527,-1.552817
35,17760,53.807548,-1.552782
36,17813,53.80757,-1.552743
37,17963,53.807535,-1.552807
38,17999,53.807488,-1.552802
39,18388,53.807445,-1.552727
40,18531,53.807428,-1.55267
41,18750,53.807403,-1.552647
42,18644,53.807392,-1.552593
43,22017,53.80742,-1.552593
44,30217,53.807432,-1.552552
45,29147,53.807443,-1.552505
46,29261,53.807468,-1.552462
47,28052,53.80751,-1.552427
48,26410,53.80755,-1.552385
49,24607,53.807582,-1.55237
50,29644,53.807608,-1.552392
51,29103,53.807633,-1.552417
52,34139,53.807663,-1.55241
53,25401,53.807698,-1.552375
54,22238,53.807742,-1.552338
55,22474,53.807767,-1.552307
56,22525,53.807808,-1.552298
57,25435,53.807843,-1.552307
58,28818,53.807868,-1.552333
59,38217,53.807897,-1.552357
60,30389,53.807925,-1.552355
61,22448,53.80796,-1.552338
62,23101,53.807997,-1.552303
63,22226,53.808025,-1.552288
64,22366,53.808062,-1.552257
65,27601,53.808103,-1.552233
66,24627,53.80815,-1.552235
67,26776,53.808203,-1.552242
68,26299,53.808247,-1.552238
69,25991,53.808285,-1.552273
70,26120,53.808313,-1.552303
71,27220,53.808325,-1.552368
72,30145,53.808352,-1.552412
73,24425,53.808392,-1.552402
74,23562,53.808433,-1.552408
75,22270,53.808457,-1.552437
76,23901,53.80849,-1.552473
77,23975,53.808508,-1.552517
78,24022,53.808545,-1.552533
79,23631,53.808587,-1.552538
80,23395,53.808627,-1.552543
81,25360,53.808675,-1.552592
82,25651,53.8087,-1.552628
83,25324,53.808732,-1.552665
84,25589,53.808758,-1.5527
85,25504,53.808778,-1.552733
86,27330,53.808793,-1.552772
87,26749,53.808822,-1.55281
88,26689,53.808857,-1.552828
89,27167,53.80888,-1.55288
90,27099,53.808902,-1.552913
91,26857,53.808928,-1.552947
92,26887,53.808957,-1.552993
93,26399,53.808992,-1.553032
94,26037,53.809035,-1.553072
95,26099,53.809058,-1.553095
96,28062,53.809098,-1.553157
97,28997,53.809132,-1.553235
98,29191,53.809148,-1.553282
99,27299,53.80916,-1.55333
100,33717,53.809183,-1.55339
101,38335,53.809208,-1.553438
102,42384,53.809235,-1.553457
103,32762,53.809245,-1.553543
104,36074,53.809268,-1.553598
105,33008,53.809285,-1.553653
106,27375,53.809308,-1.553712
107,28719,53.809337,-1.55376
108,28182,53.809348,-1.553803
109,28509,53.809378,-1.553875
110,31786,53.809393,-1.55392
111,30164,53.809418,-1.553997
112,29786,53.80944,-1.554045
113,30268,53.80946,-1.554088
114,31213,53.809487,-1.554133
115,29062,53.809513,-1.554172
116,27896,53.809558,-1.554335
117,28093,53.809578,-1.55438
118,30136,53.809597,-1.554422
119,37554,53.80961,-1.554462
120,54060,53.809627,-1.554535
121,49380,53.809645,-1.554613
122,40509,53.809673,-1.554663
123,40464,53.809693,-1.554722
124,40446,53.809715,-1.554767
125,42037,53.809732,-1.55481
126,43623,53.809715,-1.554848
127,42432,53.809688,-1.55488
128,42962,53.809687,-1.554932
129,41623,53.809703,-1.554973
130,39975,53.809723,-1.555023
131,40614,53.809753,-1.555075
132,41482,53.809785,-1.555125
133,41766,53.809807,-1.555182
134,40861,53.809832,-1.555232
135,32006,53.80985,-1.55527
136,35070,53.809868,-1.555305
137,35425,53.8099,-1.555338
138,34340,53.809928,-1.555412
139,30086,53.809957,-1.55549
140,29271,53.809973,-1.555528
141,29726,53.810012,-1.555593
142,25088,53.810042,-1.555663
143,30749,53.810068,-1.555715
144,31753,53.81009,-1.555747
145,30656,53.810112,-1.555775
146,30963,53.810118,-1.555827
147,25520,53.810132,-1.555867
148,23331,53.810157,-1.555917
149,23233,53.81019,-1.555953
150,22864,53.810213,-1.555978
151,22581,53.810237,-1.556043
152,23235,53.81027,-1.556088
153,23165,53.810298,-1.556127
154,23370,53.810325,-1.556138
155,39483,53.810373,-1.556125
156,34941,53.810388,-1.556163
157,26154,53.810417,-1.556213
158,23315,53.810455,-1.556267
159,23076,53.810495,-1.556318
160,23455,53.81053,-1.556365
161,22960,53.810548,-1.556403
162,22748,53.810578,-1.556428
163,23183,53.8106,-1.556462
