,conc,lat,lon
0,4907,53.80878,-1.556733
1,6224,53.808317,-1.557087
2,6257,53.808287,-1.557095
3,6157,53.808258,-1.557083
4,6466,53.808238,-1.55705
5,6362,53.808203,-1.557023
6,6362,53.808175,-1.557005
7,6470,53.80815,-1.556975
8,6703,53.808122,-1.556942
9,6564,53.808095,-1.556913
10,6729,53.808075,-1.556873
11,6734,53.808045,-1.55684
12,6531,53.808032,-1.556792
13,6705,53.80801,-1.556743
14,6556,53.808012,-1.556658
15,6629,53.808003,-1.556593
16,6520,53.807993,-1.556545
17,6634,53.807987,-1.55649
18,6635,53.807975,-1.556435
19,6820,53.807938,-1.556422
20,6758,53.80791,-1.556388
21,6748,53.807883,-1.556377
22,6737,53.807858,-1.556347
23,6458,53.807828,-1.556333
24,6290,53.807782,-1.556235
25,6386,53.80776,-1.556185
26,6488,53.807762,-1.556115
27,6729,53.807775,-1.556062
28,6605,53.80779,-1.556022
29,6538,53.807812,-1.555972
30,6476,53.807832,-1.555908
31,6906,53.807993,-1.555358
32,7305,53.808018,-1.555292
33,7994,53.808042,-1.55524
34,7961,53.808072,-1.5552
35,7968,53.808103,-1.555165
36,8176,53.808127,-1.555122
37,8174,53.808157,-1.55507
38,8026,53.80819,-1.555028
39,7955,53.80822,-1.554988
40,7841,53.808243,-1.554965
41,7911,53.808275,-1.554948
42,7833,53.808302,-1.554928
43,7457,53.808338,-1.554912
44,7832,53.808375,-1.55492
45,6748,53.808712,-1.555185
46,6678,53.808735,-1.555215
47,6575,53.808768,-1.555248
48,6659,53.808792,-1.555292
49,6107,53.80888,-1.555487
50,5947,53.80889,-1.555532
51,6108,53.808895,-1.555585
52,6192,53.808917,-1.555653
53,6221,53.808933,-1.555693
54,6325,53.808952,-1.55573
55,5944,53.808965,-1.555785
56,6157,53.80897,-1.55584
57,6151,53.808978,-1.555893
58,6342,53.808995,-1.555972
59,6305,53.809005,-1.55602
60,6139,53.80902,-1.55606
61,5961,53.809035,-1.556103
62,5876,53.809052,-1.556143
63,5809,53.809063,-1.55619
64,5790,53.809077,-1.556233
65,5862,53.809085,-1.556297
66,5936,53.809088,-1.556358
67,6088,53.809092,-1.556408
68,5789,53.809105,-1.55648
69,5849,53.809115,-1.556535
70,5777,53.809133,-1.556603
71,5862,53.809153,-1.556687
72,5788,53.809165,-1.556735
73,5878,53.809172,-1.556783
74,5820,53.809182,-1.556838
75,5718,53.809192,-1.556905
76,6244,53.809073,-1.557573
77,6047,53.809052,-1.557602
78,6171,53.80902,-1.557643
79,6131,53.808992,-1.557675
80,6071,53.808962,-1.557697
81,6115,53.808572,-1.557702
82,6206,53.808503,-1.557644
83,6059,53.808473,-1.557601
84,6133,53.808444,-1.557558
85,6163,53.808414,-1.557516
86,6086,53.808385,-1.557473
87,6295,53.808355,-1.55743
88,6203,53.808335,-1.5573
89,6283,53.808342,-1.557223
90,6141,53.808345,-1.557175
91,6146,53.808343,-1.557118
92,6377,53.808348,-1.55707
93,6182,53.80835,-1.557023
94,5837,53.80836,-1.556977
95,6055,53.808392,-1.55698
96,5880,53.808422,-1.556973
97,5877,53.80845,-1.556958
98,5781,53.808483,-1.556935
99,5971,53.808518,-1.556907
100,5859,53.808547,-1.556888
101,5741,53.808573,-1.556872
102,5819,53.808607,-1.556855
103,5898,53.808635,-1.55685
