
'utc': '2020-05-18 02:43:31.942093', 'gpstime': '122506.00', 'lat': '5351.96158', 'lon': '00107.56145', 'fix': '1', 'nsat': '07', 'HDOP': '1.44', 'alt': '53.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.558098725871673, 'Humidity': 37.473105973907074, 'Sampling Period': 10.16870403289795, 'PM1': 5.308888912200928, 'PM2.5': 10.320170402526855, 'PM10': 52.71492385864258
'utc': '2020-05-18 02:43:42.091734', 'gpstime': '122516.00', 'lat': '5351.95817', 'lon': '00107.55492', 'fix': '1', 'nsat': '07', 'HDOP': '1.45', 'alt': '24.4', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.63019760433356, 'Humidity': 37.79049362935836, 'Sampling Period': 10.167572975158691, 'PM1': 2.2898683547973633, 'PM2.5': 6.287945747375488, 'PM10': 19.542179107666016
'utc': '2020-05-18 02:44:04.213971', 'gpstime': '122538.00', 'lat': '5351.96115', 'lon': '00107.52473', 'fix': '1', 'nsat': '07', 'HDOP': '1.45', 'alt': '15.4', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.643549248493173, 'Humidity': 37.48226138704509, 'Sampling Period': 22.203712463378906, 'PM1': 0.017105568200349808, 'PM2.5': 0.023867899551987648, 'PM10': 0.02403292432427406
'utc': '2020-05-18 02:44:14.375892', 'gpstime': '122548.00', 'lat': '5351.96124', 'lon': '00107.50847', 'fix': '1', 'nsat': '07', 'HDOP': '1.45', 'alt': '11.8', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.670252536812384, 'Humidity': 38.29556725413901, 'Sampling Period': 10.167957305908203, 'PM1': 1.1993974447250366, 'PM2.5': 2.0992848873138428, 'PM10': 16.456602096557617
'utc': '2020-05-18 02:44:24.547159', 'gpstime': '122559.00', 'lat': '5351.96197', 'lon': '00107.49838', 'fix': '1', 'nsat': '07', 'HDOP': '1.45', 'alt': '8.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.769054703593497, 'Humidity': 38.307774471656366, 'Sampling Period': 10.163093566894531, 'PM1': 7.4478654861450195, 'PM2.5': 17.041152954101562, 'PM10': 113.80072021484375
'utc': '2020-05-18 02:44:34.714216', 'gpstime': '122609.00', 'lat': '5351.96455', 'lon': '00107.48963', 'fix': '1', 'nsat': '07', 'HDOP': '1.45', 'alt': '7.1', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.854505226214997, 'Humidity': 38.986800946059354, 'Sampling Period': 10.168469429016113, 'PM1': 0.3938884139060974, 'PM2.5': 0.5376891493797302, 'PM10': 0.5599713921546936
'utc': '2020-05-18 02:44:44.887614', 'gpstime': '122619.00', 'lat': '5351.96466', 'lon': '00107.47214', 'fix': '1', 'nsat': '07', 'HDOP': '1.45', 'alt': '5.7', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 25.95330739299611, 'Humidity': 38.28488593881132, 'Sampling Period': 10.165268898010254, 'PM1': 13.586074829101562, 'PM2.5': 25.021451950073242, 'PM10': 161.3688201904297
'utc': '2020-05-18 02:44:55.042855', 'gpstime': '122629.00', 'lat': '5351.96540', 'lon': '00107.45724', 'fix': '1', 'nsat': '08', 'HDOP': '1.00', 'alt': '4.3', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.05210955977722, 'Humidity': 38.811322194247346, 'Sampling Period': 10.167402267456055, 'PM1': 36.99679946899414, 'PM2.5': 62.319156646728516, 'PM10': 289.77227783203125
'utc': '2020-05-18 02:45:17.339501', 'gpstime': '122651.00', 'lat': '5351.96398', 'lon': '00107.44521', 'fix': '1', 'nsat': '07', 'HDOP': '1.08', 'alt': '3.9', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.121538109407183, 'Humidity': 38.568703746089874, 'Sampling Period': 22.378816604614258, 'PM1': 0.03590695932507515, 'PM2.5': 0.1414952427148819, 'PM10': 6.452669143676758
'utc': '2020-05-18 02:45:27.515048', 'gpstime': '122702.00', 'lat': '5351.96593', 'lon': '00107.43260', 'fix': '1', 'nsat': '08', 'HDOP': '1.00', 'alt': '4.4', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.252384222171358, 'Humidity': 38.817425803006024, 'Sampling Period': 10.17237377166748, 'PM1': 15.054633140563965, 'PM2.5': 20.8502254486084, 'PM10': 28.042726516723633
'utc': '2020-05-18 02:45:37.686442', 'gpstime': '122712.00', 'lat': '5351.96755', 'lon': '00107.41624', 'fix': '1', 'nsat': '08', 'HDOP': '0.99', 'alt': '5.2', 'WGS84': '47.4', 'lastDGPS': '', 'Temperature': 26.377889677271682, 'Humidity': 39.08598458838789, 'Sampling Period': 10.171477317810059, 'PM1': 47.97385025024414, 'PM2.5': 78.28463745117188, 'PM10': 532.8870849609375
